HotelName,Location,ImageURL1,ImageURL2,ImageURL3,ImageURL4,ImageURL5,ImageURL6
Anantara Uluwatu Bali Resort,"Jl Pemutih, Labuan Sait, Uluwatu, id, 80361 Uluwatu, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Uluwatu/Anantara%20Uluwatu%20Bali%20Resort/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Uluwatu/Anantara%20Uluwatu%20Bali%20Resort/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Uluwatu/Anantara%20Uluwatu%20Bali%20Resort/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Uluwatu/Anantara%20Uluwatu%20Bali%20Resort/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Uluwatu/Anantara%20Uluwatu%20Bali%20Resort/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Uluwatu/Anantara%20Uluwatu%20Bali%20Resort/image_6.jpg
Sadara Resort,"Jl. Pratama, Nusa Dua, Bali, 80363 Nusa Dua, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Sadara%20Resort/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Sadara%20Resort/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Sadara%20Resort/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Sadara%20Resort/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Sadara%20Resort/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Sadara%20Resort/image_6.jpg
"Sudamala Resort, Sanur, Bali","Jalan Sudamala No. 20, 80227 Sanur, Indonesia","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Sanur/Sudamala%20Resort,%20Sanur,%20Bali/image_1.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Sanur/Sudamala%20Resort,%20Sanur,%20Bali/image_2.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Sanur/Sudamala%20Resort,%20Sanur,%20Bali/image_3.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Sanur/Sudamala%20Resort,%20Sanur,%20Bali/image_4.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Sanur/Sudamala%20Resort,%20Sanur,%20Bali/image_5.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Sanur/Sudamala%20Resort,%20Sanur,%20Bali/image_6.jpg"
Melia Bali,"Kawasan Wisata ITDC Lot. 1, 80363 Nusa Dua, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Melia%20Bali/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Melia%20Bali/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Melia%20Bali/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Melia%20Bali/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Melia%20Bali/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Nusa%20Dua/Melia%20Bali/image_6.jpg
Royal Kamuela Villas & Suites at Monkey Forest Ubud,"Jl. Monkey Forest, Bali, 80571 Ubud, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Royal%20Kamuela%20Villas%20&%20Suites%20at%20Monkey%20Forest%20Ubud/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Royal%20Kamuela%20Villas%20&%20Suites%20at%20Monkey%20Forest%20Ubud/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Royal%20Kamuela%20Villas%20&%20Suites%20at%20Monkey%20Forest%20Ubud/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Royal%20Kamuela%20Villas%20&%20Suites%20at%20Monkey%20Forest%20Ubud/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Royal%20Kamuela%20Villas%20&%20Suites%20at%20Monkey%20Forest%20Ubud/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Royal%20Kamuela%20Villas%20&%20Suites%20at%20Monkey%20Forest%20Ubud/image_6.jpg
"The Oberoi Beach Resort, Bali","Seminyak Beach, Jalan Kayu Aya, 80033 Seminyak, Indonesia","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/The%20Oberoi%20Beach%20Resort,%20Bali/image_1.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/The%20Oberoi%20Beach%20Resort,%20Bali/image_2.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/The%20Oberoi%20Beach%20Resort,%20Bali/image_3.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/The%20Oberoi%20Beach%20Resort,%20Bali/image_4.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/The%20Oberoi%20Beach%20Resort,%20Bali/image_5.jpg","https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Seminyak/The%20Oberoi%20Beach%20Resort,%20Bali/image_6.jpg"
Sheraton Bali Kuta Resort,"Jalan Pantai Kuta, 80361 Kuta, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Kuta/Sheraton%20Bali%20Kuta%20Resort/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Kuta/Sheraton%20Bali%20Kuta%20Resort/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Kuta/Sheraton%20Bali%20Kuta%20Resort/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Kuta/Sheraton%20Bali%20Kuta%20Resort/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Kuta/Sheraton%20Bali%20Kuta%20Resort/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Kuta/Sheraton%20Bali%20Kuta%20Resort/image_6.jpg
Kelapa Retreat & Spa,"Jalan Ngurah Rai, Pekutatan, 82262 Pulukan, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Pulukan/Kelapa%20Retreat%20&%20Spa/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Pulukan/Kelapa%20Retreat%20&%20Spa/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Pulukan/Kelapa%20Retreat%20&%20Spa/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Pulukan/Kelapa%20Retreat%20&%20Spa/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Pulukan/Kelapa%20Retreat%20&%20Spa/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Pulukan/Kelapa%20Retreat%20&%20Spa/image_6.jpg
Gdas Bali Health and Wellness Resort,"Jalan Cempaka Mas, Ubud, 80571 Ubud, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Gdas%20Bali%20Health%20and%20Wellness%20Resort/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Gdas%20Bali%20Health%20and%20Wellness%20Resort/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Gdas%20Bali%20Health%20and%20Wellness%20Resort/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Gdas%20Bali%20Health%20and%20Wellness%20Resort/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Gdas%20Bali%20Health%20and%20Wellness%20Resort/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Gdas%20Bali%20Health%20and%20Wellness%20Resort/image_6.jpg
Kupu Kupu Barong Villas and Tree Spa by L�OCCITANE,"Kedewatan PO BOX 7 80571, 80571 Ubud, Indonesia",https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Kupu%20Kupu%20Barong%20Villas%20and%20Tree%20Spa%20by%20L�OCCITANE/image_1.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Kupu%20Kupu%20Barong%20Villas%20and%20Tree%20Spa%20by%20L�OCCITANE/image_2.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Kupu%20Kupu%20Barong%20Villas%20and%20Tree%20Spa%20by%20L�OCCITANE/image_3.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Kupu%20Kupu%20Barong%20Villas%20and%20Tree%20Spa%20by%20L�OCCITANE/image_4.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Kupu%20Kupu%20Barong%20Villas%20and%20Tree%20Spa%20by%20L�OCCITANE/image_5.jpg,https://ik.imagekit.io/tg5wbt4yj/TreboundImages/IndonesiaImages/Ubud/Kupu%20Kupu%20Barong%20Villas%20and%20Tree%20Spa%20by%20L�OCCITANE/image_6.jpg
